Paginapad en schermklasse,Weergaven,Gebruikers,Weergaven per gebruiker,Gemiddelde betrokkenheidsduur,Aantal gebeurtenissen,Conversies,Totale inkomsten
/,18420,1820,10.12087912087912,152.90384615384616,22040,0,0
/blog/authentication-astro-prisma-planetscale,1659,1426,1.1633941093969145,8.573632538569425,4721,0,0
/blog/using-trpc-astro-islands-react,1406,1044,1.3467432950191571,6.378352490421456,3650,0,0
/blog,1396,822,1.6982968369829683,1.9148418491484185,1896,0,0
/blog/tailwind-setting-using-css-variables-react,1014,879,1.1535836177474403,0.41069397042093286,2662,0,0
/portfolio,893,631,1.4152139461172741,1.803486529318542,1054,0,0
/personal,890,585,1.5213675213675213,1.2564102564102564,1150,0,0
/blog/route-transition-animations-remix,600,459,1.3071895424836601,6.483660130718954,1632,0,0
/blog/adding-comments-prisma-planetscale-astro-vercel-edge,544,445,1.2224719101123596,6.570786516853933,1447,0,0
/blog/avoid-flash-unwanted-animation-first-render-react,450,390,1.1538461538461537,5.153846153846154,1317,0,0
/blog/create-blog-astro-mdx,429,353,1.2152974504249292,5.818696883852692,1113,0,0
/contact,348,251,1.3864541832669324,0.5697211155378487,424,0,0
/blog/highlighting-navigation-items-on-scroll,308,258,1.193798449612403,4.5,885,0,0
/blog/hosting-blog-comments-reactions-github-discussions,301,207,1.4541062801932367,1.714975845410628,524,0,0
/blog/easily-integrate-google-maps-react,295,254,1.1614173228346456,3.1023622047244093,859,0,0
/blog/minimal-dependency-free-translation-system-nextjs,284,245,1.1591836734693877,0.0163265306122449,775,0,0
/blog/adding-vercel-og-image-astro-project,245,199,1.2311557788944723,9.869346733668342,655,0,0
/blog/auto-tag-pages-astro-mdx,242,209,1.1578947368421053,5.511961722488039,618,0,0
/blog/creating-chrome-extension-converting-urls-localhost,237,207,1.144927536231884,0.8115942028985508,482,0,0
/blog/how-to-create-animated-gifs-for-aws-infrastructures,225,207,1.0869565217391304,0.9033816425120773,652,0,0
/blog/create-blog-notion-tailwind-nextjs,128,96,1.3333333333333333,9.333333333333334,357,0,0
/blog/migrating-portfolio-nextjs-remix,124,110,1.1272727272727272,16.354545454545455,347,0,0
/blog/tags/astro,106,83,1.2771084337349397,2.2048192771084336,142,0,0
/blog/tags/javascript,106,66,1.606060606060606,1.378787878787879,140,0,0
/blog/keeping-dependencies-up-to-date,71,56,1.2678571428571428,0,111,0,0
/blog/tags/nextjs,67,35,1.9142857142857144,2.742857142857143,88,0,0
/blog/tags/react,59,39,1.5128205128205128,1.3333333333333333,74,0,0
/blog/load-google-fonts-fast,45,44,1.0227272727272727,4.295454545454546,133,0,0
/blog/formatting-dates-javascript-without-library,39,35,1.1142857142857143,1.7714285714285714,105,0,0
/blog/ship-less-css-nextjs-purgecss,38,34,1.1176470588235294,8.705882352941176,118,0,0
/blog/complete-cicd-java-app-with-jenkins-nexus-sonar-aws,31,28,1.1071428571428572,0,86,0,0
/blog/tailwind-setting-using-css-variables,30,1,30,0,33,0,0
/blog/macos-style-dock-has-selector-css-variables,27,1,27,0,29,0,0
/blog/dark-mode-tailwind-nextjs,26,22,1.1818181818181819,2.6818181818181817,52,0,0
/blog/tags/css,25,20,1.25,1,37,0,0
/blog/,18,9,2,0,22,0,0
/blog/tags/remix,18,18,1,0.6111111111111112,23,0,0
/blog/jenkins-101-getting-started,17,16,1.0625,0,50,0,0
/blog/tags/html,17,12,1.4166666666666667,0.25,23,0,0
/blog/strava-stats-nextjs,16,15,1.0666666666666667,16.866666666666667,31,0,0
/blog/tags/authentication,14,12,1.1666666666666667,0.08333333333333333,16,0,0
/blog/tags/motion,12,10,1.2,0.7,17,0,0
/blog/tags/performance,12,9,1.3333333333333333,0.5555555555555556,16,0,0
/blog/animating-conditionally-rendered-react-blocks,11,1,11,0,13,0,0
/blog/tags/tailwind,11,8,1.375,0,12,0,0
/blog/tags/vercel,11,8,1.375,0.75,16,0,0
/blog/tags/databases,10,10,1,1.4,15,0,0
/blog/creating-publishing-chrome-extension,9,1,9,0,12,0,0
/blog/static-site-generation-nextjs,9,9,1,14.444444444444445,15,0,0
